partida;nombre;descripsion;clase
11000;INGRESOS DE OPERACIÓN;Comprende los ingresos que provienen de la venta de bienes y/o servicios que produce una institución, relacionados con el objeto principal de su actividad. Los mismos son percibidos por el sector público empresarial y financiero. No corresponde deducir las comisiones y bonificaciones aplicadas de acuerdo con la política comercial, las mismas que deben ser consideradas como gastos de comercialización.;ingreso
11100;Venta de Bienes;Recursos generados por la venta bruta de bienes, efectuada por las empresas públicas.;ingreso
11300;Venta de Servicios;Recursos generados por la venta bruta de servicios, realizada por las empresas públicas.;ingreso
11400;Alquiler de Edificios y/o Equipos;Recursos generados por el alquiler a terceros, de edificios, maquinaria y/o equipos que pertenecen a las empresas públicas.;ingreso
11500;Ingresos Financieros de Instituciones Financieras;Recursos que perciben las instituciones financieras bancarias y no bancarias, por la generación de intereses al otorgar créditos en el mercado financiero, producto de intermediación financiera, depósitos a la vista, a plazo, de ahorro y otros.;ingreso
11900;Otros Ingresos de Operación;Recursos provenientes de actividades no comprendidas anteriormente, relacionadas con las atribuciones institucionales, como ser: comercialización de envases, materiales de desechos y otros.;ingreso
12000;VENTA DE BIENES Y SERVICIOS DE LAS ADMINISTRACIONES PÚBLICAS;Ingresos por la venta de bienes y/o servicios de los Órganos del Estado Plurinacional, Entidades de Control y Defensa del Estado Plurinacional, Entidades Territoriales, Instituciones de Seguridad Social, Universidades Públicas e Instituciones Públicas Descentralizadas.;ingreso
12100;Venta de Bienes de las Administraciones Públicas;Recursos que son generados por la venta de bienes por parte de las entidades de la administración pública no empresariales.;ingreso
12200;Venta de Servicios de las Administraciones Públicas;Recursos que son generados por la venta de servicios por parte de las entidades de la administración pública no empresariales. Incluye el cobro de importes por formularios, impresos y otros que utilizan las instituciones públicas para: registro, identificación, autorizaciones y otros.;ingreso
13000;INGRESOS POR IMPUESTOS;Recaudaciones por impuestos establecidos en el Sistema Tributario vigente, percibidos exclusivamente por el Tesoro General de la Nación y Entidades Territoriales Autónomas según sus competencias.;ingreso
13100;Impuestos Internos (Renta Interna);Ingresos tributarios que proceden de pagos que realizan las personas, las entidades públicas, privadas y mixtas al Estado Plurinacional, por concepto de impuestos sobre la renta, utilidades y otros administrados por el Servicio de Impuestos Nacionales, de acuerdo a normativa vigente.;ingreso
13110;Impuesto sobre las Utilidades de las Empresas;Recursos provenientes de la tributación sobre las utilidades de las empresas públicas, privadas y mixtas resultantes de los Estados Financieros al cierre de cada gestión, además de gravar a profesionales liberales u oficios y beneficiarios del exterior, de acuerdo a lo establecido en la normativa vigente. Incluye también los recursos provenientes de las alícuotas adicionales, de acuerdo a lo establecido en la normativa vigente.;ingreso
13111;En Efectivo;;ingreso
13112;En Certificados de Crédito Fiscal;;ingreso
13120;Impuesto a las Transacciones;Recursos provenientes del gravamen impositivo sobre los ingresos brutos devengados durante el período fiscal a personas jurídicas y naturales, cuyas actividades se realizan en el territorio nacional por el ejercicio del comercio, industria, profesión, oficio, negocio, alquiler de bienes muebles o inmuebles, obras o servicios de cualquier índole, transferencia a título gratuito de bienes muebles, inmuebles y derechos, y otras, lucrativas o no, de acuerdo a lo establecido en la normativa vigente.;ingreso
13121;En Efectivo;;ingreso
13122;En Certificados de Crédito Fiscal;;ingreso
13130;Impuesto al Valor Agregado - Mercado Interno;Recursos provenientes del gravamen impositivo sobre la venta de bienes o mercaderías en general, contratos de obra, servicios técnicos y profesionales, servicios públicos y privados, aportes, alquileres de muebles e inmuebles y todo otro tipo de ingreso, por actividades realizadas en el país.;ingreso
13131;En Efectivo;;ingreso
13132;En Certificados de Crédito Fiscal;;ingreso
13140;Impuesto al Valor Agregado - Importaciones;Recursos provenientes del gravamen a la importación definitiva de mercancías.;ingreso
13141;En Efectivo;;ingreso
13142;En Certificados de Crédito Fiscal;;ingreso
13150;Impuesto a los Consumos Específicos - Mercado Interno;Recursos originados en el impuesto por concepto de fabricación, consumo o adquisición de bebidas alcohólicas, no alcohólicas y refrescantes, alcoholes sin desnaturalizar, cigarrillos y tabacos y vehículos automóviles.;ingreso
13151;En Efectivo;;ingreso
13152;En Certificados de Crédito Fiscal;;ingreso
13160;Impuesto a los Consumos Específicos - Importaciones;Recursos provenientes de la aplicación del Impuesto a los Consumos Específicos a la importación definitiva de cigarrillos y tabacos, de bebidas alcohólicas, no alcohólicas y refrescantes, alcoholes sin desnaturalizar y vehículos automóviles.;ingreso
13161;En Efectivo;;ingreso
13162;En Certificados de Crédito Fiscal;;ingreso
13170;Impuestos a los Hidrocarburos;Recursos originados por la tributación a la comercialización en el mercado interno de hidrocarburos y sus derivados, sean estos producidos internamente o importados. Incluye los recursos originados por la producción de Hidrocarburos en el territorio nacional.;ingreso
13171;Impuesto Especial a los Hidrocarburos y sus Derivados Mercado Interno – En Efectivo;;ingreso
